equipment ID,Part number,Processed date/time,Lot No.,Measured Value
e15540,247,23/4/2024 05:30,0423-0247-05372,0.018
e15540,247,23/4/2024 05:30,0423-0247-05375,0.016
e15540,247,23/4/2024 05:30,0423-0247-05370,0.018
e15540,247,23/4/2024 05:30,0423-0247-05384,0.02
e15540,247,23/4/2024 05:30,0423-0247-05387,0.013
e15540,247,23/4/2024 05:31,0423-0247-05386,0.009
e15540,247,23/4/2024 05:31,0423-0247-05396,0.005
e15540,247,23/4/2024 05:31,0423-0247-05399,0.022
e15540,247,23/4/2024 05:31,0423-0247-05398,0.012
e15540,247,23/4/2024 05:31,0423-0247-05408,0.022
e15540,247,23/4/2024 05:32,0423-0247-05411,0.016
e15540,247,23/4/2024 05:32,0423-0247-05410,0.012
e15540,247,23/4/2024 05:32,0423-0247-05418,0.011
e15540,247,23/4/2024 05:32,0423-0247-05425,0.011
e15540,247,23/4/2024 05:32,0423-0247-05422,0.016
e15540,247,23/4/2024 05:33,0423-0247-05433,0.014
e15540,247,23/4/2024 05:33,0423-0247-05437,0.01
e15540,247,23/4/2024 05:33,0423-0247-05435,0.018
e15540,247,23/4/2024 05:33,0423-0247-05445,0.016
e15540,247,23/4/2024 05:34,0423-0247-05449,0.018
e15540,247,23/4/2024 05:34,0423-0247-05447,0.016
e15540,247,23/4/2024 05:34,0423-0247-05453,0.021
e15540,247,23/4/2024 05:34,0423-0247-05459,0.019
e15540,247,23/4/2024 05:34,0423-0247-05463,0.003
e15540,247,23/4/2024 05:35,0423-0247-05467,0.014
e15540,247,23/4/2024 05:35,0423-0247-05468,0.012
e15540,247,23/4/2024 05:35,0423-0247-05475,0.01
e15540,247,23/4/2024 05:36,0423-0247-05479,0.082
e15540,247,23/4/2024 05:36,0423-0247-05483,0.021
e15540,247,23/4/2024 05:36,0423-0247-05489,0.153
e15540,247,23/4/2024 05:36,0423-0247-05492,0.023
e15540,247,23/4/2024 05:37,0423-0247-05503,0.018
e15540,247,23/4/2024 05:37,0423-0247-05505,0.017
e15540,247,23/4/2024 05:37,0423-0247-05504,0.018
e15540,247,23/4/2024 05:37,0423-0247-05517,0.023
e15540,247,23/4/2024 05:38,0423-0247-05516,0.014
e15540,247,23/4/2024 05:38,0423-0247-05527,0.053
e15540,247,23/4/2024 05:38,0423-0247-05529,0.01
e15540,247,23/4/2024 05:38,0423-0247-05534,0.026
e15540,247,23/4/2024 05:38,0423-0247-05530,0.015
e15540,247,23/4/2024 05:39,0423-0247-05540,0.018
e15540,247,23/4/2024 05:39,0423-0247-05547,0.019
e15540,247,23/4/2024 05:39,0423-0247-05545,0.011
e15540,247,23/4/2024 05:39,0423-0247-05552,0.018
e15540,247,23/4/2024 05:39,0423-0247-05559,0.021
e15540,247,23/4/2024 05:40,0423-0247-05557,0.012
e15540,247,23/4/2024 05:40,0423-0247-05564,0.021
e15540,247,23/4/2024 05:40,0423-0247-05566,0.007
e15540,247,23/4/2024 05:40,0423-0247-05569,0.012
e15540,247,23/4/2024 05:41,0423-0247-05578,0.007
e15540,247,23/4/2024 05:41,0423-0247-05574,0.009
e15540,247,23/4/2024 05:41,0423-0247-05582,0.01
e15540,247,23/4/2024 05:41,0423-0247-05590,0.076
e15540,247,23/4/2024 05:41,0423-0247-05586,0.065
e15540,247,23/4/2024 05:41,0423-0247-05594,0.009
e15540,247,23/4/2024 05:42,0423-0247-05608,0.017
e15540,247,23/4/2024 05:42,0423-0247-05612,0.09
e15540,247,23/4/2024 05:42,0423-0247-05615,0.035
e15540,247,23/4/2024 05:43,0423-0247-05623,0.019
e15540,247,23/4/2024 05:43,0423-0247-05626,0.017
e15540,247,23/4/2024 05:43,0423-0247-05627,0.055
e15540,247,23/4/2024 05:43,0423-0247-05635,0.048
e15540,247,23/4/2024 05:43,0423-0247-05638,0.024
e15540,247,23/4/2024 05:44,0423-0247-05639,0.024
e15540,247,23/4/2024 05:44,0423-0247-05647,0.019
e15540,247,23/4/2024 05:44,0423-0247-05650,0.068
e15540,247,23/4/2024 05:44,0423-0247-05655,0.018
e15540,247,23/4/2024 05:44,0423-0247-05659,0.058
e15540,247,23/4/2024 05:45,0423-0247-05658,0.03
e15540,247,23/4/2024 05:45,0423-0247-05667,0.024
e15540,247,23/4/2024 05:45,0423-0247-05671,0.019
e15540,247,23/4/2024 05:45,0423-0247-05670,0.016
e15540,247,23/4/2024 05:45,0423-0247-05679,0.025
e15540,247,23/4/2024 05:46,0423-0247-05683,0.027
e15540,247,23/4/2024 05:46,0423-0247-05682,0.028
e15540,247,23/4/2024 05:46,0423-0247-05693,0.015
e15540,247,23/4/2024 05:46,0423-0247-05697,0.129
e15540,247,23/4/2024 05:47,0423-0247-05692,0.01
e15540,247,23/4/2024 05:47,0423-0247-05706,0.033
e15540,247,23/4/2024 05:47,0423-0247-05713,0.012
e15540,247,23/4/2024 05:47,0423-0247-05714,0.037
e15540,247,23/4/2024 05:48,0423-0247-05718,0.023
e15540,247,23/4/2024 05:48,0423-0247-05725,0.023
e15540,247,23/4/2024 05:48,0423-0247-05726,0.04
e15540,247,23/4/2024 05:48,0423-0247-05730,0.038
e15540,247,23/4/2024 05:48,0423-0247-05737,0.021
e15540,247,23/4/2024 05:49,0423-0247-05738,0.013
e15540,247,23/4/2024 05:49,0423-0247-05747,0.015
